rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
6	gastritis h pylori	C0744310	2	29	1.3091230621764538e-07	8.356545961e-06	PTGS1,PTGS2
7	Creutzfeldt-Jakob Disease, Sporadic	C1852467	2	31	1.609678889069599e-07	9.74930362117e-06	PTGS1,PTGS2
8	keratoacanthoma	C0022572	2	34	2.1417989881644672e-07	1.11420612813e-05	PTGS1,PTGS2
9	Rotavirus Infections	C0035869	2	39	3.2686680195848083e-07	1.25348189415e-05	PTGS1,PTGS2
14	Anaphylactic shock NOS	C0002792	2	43	4.4108199792614045e-07	1.94986072423e-05	PTGS1,PTGS2
15	Stomach Diseases	C0038354	2	44	4.7325519580976305e-07	2.08913649025e-05	PTGS1,PTGS2
16	Renovascular hypertension	C0020545	2	48	6.175244929851331e-07	2.22841225627e-05	PTGS1,PTGS2
17	Neuritis	C0027813	2	50	6.995171345502982e-07	2.36768802228e-05	PTGS1,PTGS2
22	Cervical Adenocarcinoma	C0279672	2	53	8.356054636005084e-07	3.06406685237e-05	PTGS1,PTGS2
23	Dyspepsia	C0013395	2	56	9.882797319393788e-07	3.20334261838e-05	PTGS1,PTGS2
24	Medullary carcinoma	C0206693	2	57	1.0430049294241073e-06	3.3426183844e-05	PTGS1,PTGS2
31	Colonic Polyps	C0009376	2	61	1.2819106172123895e-06	4.31754874652e-05	PTGS1,PTGS2
32	Esophagitis	C0014868	2	62	1.3468323855070352e-06	4.45682451253e-05	PTGS1,PTGS2
33	Idiopathic Inflammatory Myopathies	C0751356	2	62	1.3468323855070352e-06	4.59610027855e-05	PTGS1,PTGS2
34	Cytochrome-c oxidase deficiency	C0268237	2	63	1.4138633105398313e-06	4.73537604457e-05	PTGS1,PTGS2
35	gliosarcoma	C0206726	2	64	1.4831528779568615e-06	4.87465181058e-05	PTGS1,PTGS2
36	Colorectal polyposis	C0949059	2	66	1.6283519320703377e-06	5.0139275766e-05	PTGS1,PTGS2
43	Peutz-Jeghers syndrome	C0031269	2	73	2.2103440024956456e-06	5.98885793872e-05	PTGS1,PTGS2
49	Duodenal Ulcer	C0013295	2	80	2.916050420020966e-06	6.82451253482e-05	PTGS1,PTGS2
50	Adult type dermatomyositis	C0221056	2	83	3.2591871278464524e-06	6.96378830084e-05	PTGS1,PTGS2
51	Intestinal polyp	C0021846	2	84	3.379313326834499e-06	7.10306406685e-05	PTGS1,PTGS2
54	Urinary tract infection	C0042029	2	92	4.44708150404427e-06	7.5208913649e-05	PTGS1,PTGS2
60	Creutzfeldt-Jakob Syndrome	C0022336	2	95	4.898853483426002e-06	8.356545961e-05	PTGS1,PTGS2
61	Hyperplastic Polyp	C0333983	2	98	5.380040115632312e-06	8.49582172702e-05	PTGS1,PTGS2
65	Polymyositis	C0085655	2	102	6.068923338986565e-06	9.05292479109e-05	PTGS1,PTGS2
66	Intraocular pressure disorder	C0595921	2	102	6.068923338986565e-06	9.1922005571e-05	PTGS1,PTGS2
71	Hamartoma	C0018552	2	106	6.813862944876625e-06	9.88857938719e-05	PTGS1,PTGS2
72	Helicobacter Infections	C0079487	2	110	7.617025229222918e-06	0.000100278551532	PTGS1,PTGS2
77	Dermatomyositis	C0011633	2	115	8.705912078577072e-06	0.000107242339833	PTGS1,PTGS2
78	Ovarian cyst	C0029927	2	116	8.935376965668596e-06	0.000108635097493	PTGS1,PTGS2
79	Gastric ulcer	C0038358	2	116	8.935376965668596e-06	0.000110027855153	PTGS1,PTGS2
81	Peptic ulcer	C0030920	2	123	1.0654524916109409e-05	0.000112813370474	PTGS1,PTGS2
89	Musculoskeletal Diseases	C0026857	2	132	1.3168617792325144e-05	0.000123955431755	PTGS1,PTGS2
90	Pregnancy Complications, Hematologic	C0032964	2	133	1.346998074402972e-05	0.000125348189415	PTGS1,PTGS2
91	Myositis	C0027121	2	136	1.4401373011230234e-05	0.000126740947075	PTGS1,PTGS2
98	Lyme Disease	C0024198	2	140	1.5708053201390904e-05	0.000136490250696	PTGS1,PTGS2
104	Arthropathy	C0022408	2	147	1.8179009478647146e-05	0.000144846796657	PTGS1,PTGS2
105	Polycystic kidney disease, autosomal dominant	C0022680	2	147	1.8179009478647146e-05	0.000146239554318	PTGS1,PTGS2
111	Fetal Diseases	C0015929	2	151	1.9699768905034887e-05	0.000154596100279	PTGS1,PTGS2
112	Ureteral obstruction	C0041956	2	154	2.0893830297241678e-05	0.000155988857939	PTGS1,PTGS2
117	Thrombosis	C0040053	2	157	2.213472056300514e-05	0.00016295264624	PTGS1,PTGS2
128	Primary open angle glaucoma juvenile onset 1	C0339573	2	172	2.9071734873209465e-05	0.000178272980501	PTGS1,PTGS2
130	Hyperalgesia	C0020429	2	177	3.166749754823783e-05	0.000181058495822	PTGS1,PTGS2
135	Eclampsia	C0013537	2	183	3.497865172108483e-05	0.000188022284123	PTGS1,PTGS2
136	Flushing	C0016382	1	25	3.7022609550851904e-05	0.000189415041783	PTGS1
