rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
15	Bulimia	C0006370	1	27	7.241683525505138e-06	0.000164835164835	HTR1B
16	Substance Use Disorders	C0038586	1	31	9.591489609883652e-06	0.000175824175824	HTR1B
17	Antisocial Personality Disorder	C0003431	1	35	1.227023799865723e-05	0.000186813186813	HTR1B
18	Personality disorder	C0031212	1	38	1.4495085351451387e-05	0.000197802197802	HTR1B
19	Bulimia nervosa 1	C2267227	1	39	1.527770228171299e-05	0.000208791208791	HTR1B
20	Antisocial/borderline personality disorder	C0233523	1	44	1.9498966009834362e-05	0.00021978021978	HTR1B
21	Substance abuse problem	C0740858	1	44	1.9498966009834362e-05	0.000230769230769	HTR1B
22	Heart valve disease	C0018824	1	46	2.1331077302289003e-05	0.000241758241758	HTR1B
23	Conduct Disorder	C0149654	1	47	2.22778701899351e-05	0.000252747252747	HTR1B
24	Hyperostosis	C0020492	1	52	2.7319361404543052e-05	0.000263736263736	HTR1B
25	Bone Diseases, Developmental	C0005941	1	54	2.9479410143529172e-05	0.000274725274725	HTR1B
26	As If Personality	C0003944	1	62	3.8938446326741705e-05	0.000285714285714	HTR1B
27	Heroin Dependence	C0019337	1	65	4.282307638570071e-05	0.000296703296703	HTR1B
28	Drug Dependence	C1510472	1	66	4.415882497499357e-05	0.000307692307692	HTR1B
29	Osteochondritis dissecans	C0029421	1	67	4.551507102923402e-05	0.000318681318681	HTR1B
30	Ichthyosis bullosa of Siemens	C0432306	1	77	6.020042498422473e-05	0.00032967032967	HTR1B
31	Substance addiction and disorders	C0038580	1	80	6.500406248832746e-05	0.000340659340659	HTR1B
32	Panic disorder 1	C1868649	1	80	6.500406248832746e-05	0.000351648351648	HTR1B
33	Schizoaffective Disorder	C0036337	1	81	6.664603635264665e-05	0.000362637362637	HTR1B
34	Amphetamine-Related Disorders	C0236733	1	84	7.169424829012172e-05	0.000373626373626	HTR1B
35	Obsessive-compulsive disorder	C0028768	1	85	7.341777350189371e-05	0.000384615384615	HTR1B
36	body mass	C0518010	1	94	8.984560706248867e-05	0.000395604395604	HTR1B
37	Alcohol abuse	C0085762	1	95	9.177273117932927e-05	0.000406593406593	HTR1B
38	Dyskinesia, seizures, and intellectual developmental disorder	C0013384	1	97	9.568788876379575e-05	0.000417582417582	HTR1B
39	Methamphetamine abuse	C0013146	1	105	0.00011216148454940011	0.000428571428571	HTR1B
40	Anorexia nervosa 1	C0003125	1	107	0.00011648300984112847	0.00043956043956	HTR1B
41	Panic disorder syndrome 1 (2)	C0030319	1	115	0.0001345807451538228	0.000450549450549	HTR1B
42	Cocaine-Related Disorders	C0236736	1	117	0.00013930795839778298	0.000461538461538	HTR1B
43	Hypotension	C0020649	1	129	0.00016937236147751555	0.000472527472527	HTR1B
44	Anorexia	C0003123	1	134	0.00018275903149811423	0.000483516483516	HTR1B
45	Weight Gain Adverse Event	C2911647	1	151	0.0002320495142491552	0.000494505494505	HTR1B
46	Irritable bowel syndrome with diarrhea	C0022104	1	162	0.0002670471978962752	0.000505494505495	HTR1B
47	Obstructive sleep apnea	C0520679	1	166	0.0002803771739994243	0.000516483516484	HTR1B
48	Bone Diseases	C0005940	1	169	0.0002905856979908972	0.000527472527473	HTR1B
49	Borderline Personality Disorder	C0006012	1	172	0.0003009750074679518	0.000538461538462	HTR1B
50	Epilepsy, Temporal Lobe	C0014556	1	192	0.00037485021970273813	0.000549450549451	HTR1B
51	Headache	C0018681	1	204	0.00042301879623241057	0.00056043956044	HTR1B
52	Anxiety	C0003467	1	214	0.0004653560436146398	0.000571428571429	HTR1B
53	Primary pulmonary hypertension	C0152171	1	227	0.0005233741130236114	0.000582417582418	HTR1B
