node1	node2	edge_score	
DB01050	PTGS2	1.0	
DB01050	PTGS1	1.0	
DB01050	FABP2	1.0	
DB01050	UGT1A9	1.0	
DB01050	UGT1A3	1.0	
DB01050	GP1BA	1.0	
DB01050	ABCB1	1.0	
DB01050	S100A7	1.0	
DB01050	UGT2B7	1.0	
DB01050	UGT2B4	1.0	
DB01050	PPARG	1.0	
DB01050	SLCO1A2	1.0	
DB01050	PPARA	1.0	
DB01050	THBD	1.0	
DB01050	CFTR	1.0	
DB01050	CYP2C9	1.0	
DB01050	CYP2C8	1.0	
DB01050	ALB	1.0	
DB01050	SLC22A11	1.0	
DB01050	SLC22A6	1.0	
DB01050	CYP2C19	1.0	
DB01050	SLCO2B1	1.0	
DB01050	ABCC4	1.0	
DB01050	SLC22A8	1.0	
DB01050	ABCC1	1.0	
DB01050	BCL2	1.0	

