Protein	FeatureImportance	DrugBingingStatus	
ABCB1	-0.027910951749853138	drug_target	
ABCC1	0.04131326606818612	drug_target	
ABCC4	0.2842032042290122	drug_target	
ABCG2	0.2030901857616553	drug_target	
ACE	-0.786145240632091	drug_target	
ACE2	-0.09127967881218385	drug_target	
ACKR3	0.34282480113041935	intermediate	
ADA	0.11023371676605653	drug_target	
ADCY5	-0.333272077636815	intermediate	
ADCY9	-0.333272077636815	intermediate	
ADM	0.08564726685781429	intermediate	
ADORA1	-0.3807962628462021	drug_target	
ADORA2A	-0.07422290786695081	drug_target	
ADORA2B	-0.1568786221835375	drug_target	
ADRA1A	0.15577910239870502	drug_target	
ADRA1B	-0.36465389010205806	drug_target	
ADRA1D	-0.052723245964982776	drug_target	
ADRA2A	-0.16892987875772134	drug_target	
ADRA2B	0.5565161700102638	drug_target	
ADRA2C	-0.16892987875772134	drug_target	
ADRB1	-0.3360758750502244	drug_target	
ADRB2	-0.3301007912959576	drug_target	
ADRB3	0.5778935761429412	drug_target	
AGT	-0.5523245988538465	intermediate	
AGTR1	-0.4151506421878346	drug_target	
AGTR2	0.24126258894804384	intermediate	
AGXT	0.12963521571230455	drug_target	
AGXT2	0.12963521571230455	drug_target	
AKT1	-0.1635532283703487	intermediate	
ALB	-0.19199830496184297	drug_target	
ALDH2	-0.4229755409044796	drug_target	
ALMS1	-0.19954560486268544	intermediate	
ALOX15	-0.15383497307781197	intermediate	
ALOX5	-0.21556320222553366	drug_target	
ALOX5AP	-0.21556320222553366	intermediate	
ANGPT1	0.056366084600015215	intermediate	
ANPEP	-0.5339282216075141	drug_target	
ANXA1	-0.4087124821850358	drug_target	
AOC1	-0.29402579876961166	drug_target	
APBB1IP	-0.08623290813104326	intermediate	
APLN	-0.01995962586385697	intermediate	
APLNR	-0.17005048419513735	intermediate	
APOA1	0.013785732352300694	intermediate	
APOA4	-0.9264897423918319	intermediate	
APOB	-0.3301007912959576	intermediate	
APOC1	-0.2202465266612625	intermediate	
APOC3	-0.1175251966319604	intermediate	
APOE	0.48462319578854124	intermediate	
APP	0.46579114335510763	intermediate	
AR	-0.2653260617877469	drug_target	
ASIC1	-0.29402579876961166	drug_target	
ATM	0.05468072170626694	intermediate	
AVP	0.25850138417907564	intermediate	
AVPR1A	-0.052723245964982776	drug_target	
AVPR2	-0.006972053769783636	drug_target	
B2M	-0.08240922765632377	intermediate	
BDKRB1	-0.4457537814903903	intermediate	
BDKRB2	-0.06618543911992944	drug_target	
C1QB	-0.3289401304329265	drug_target	
C3	-0.35277513213737993	intermediate	
CACNA1C	-0.24284842184375302	drug_target	
CACNA1D	-0.24284842184375302	drug_target	
CACNA2D1	0.13271685721870818	drug_target	
CACNB2	-0.24284842184375302	drug_target	
CALCA	0.08564726685781429	intermediate	
CALCRL	-0.026583767691969542	intermediate	
CALM3	0.2775753948126032	drug_target	
CALR	0.29445794587970686	drug_target	
CARTPT	0.07502849685105265	drug_target	
CASP3	-0.15383497307781197	drug_target	
CASR	0.0863935602123089	drug_target	
CAV1	-0.1635532283703487	intermediate	
CBR1	-0.19649681589008594	drug_target	
CC2D2A	-0.19954560486268544	intermediate	
CCL2	-0.2653260617877469	drug_target	
CCL21	-0.01995962586385697	intermediate	
CCL28	-0.01995962586385697	intermediate	
CCL5	0.4000239011853904	intermediate	
CCNE1	-0.19888727012185972	intermediate	
CCR1	-0.09715481493360892	intermediate	
CCR2	-0.01995962586385697	intermediate	
CCR5	-0.17723572195165968	drug_target	
CCR6	0.0361679038401053	intermediate	
CCR7	0.4000239011853904	intermediate	
CD47	0.1286176892208346	intermediate	
CES1	-0.7522168614468268	drug_target	
CFH	-0.09581017273272135	intermediate	
CHRM3	0.3327238453885058	drug_target	
CNR1	-0.01995962586385697	drug_target	
COMT	-0.4552079787163924	drug_target	
CPS1	-0.4229755409044796	drug_target	
CRHR1	0.20408018784144683	intermediate	
CRK	-0.26435633494801836	intermediate	
CRMP1	0.03739001983115409	intermediate	
CSF2	0.056318056213896836	intermediate	
CSK	-0.08623290813104326	intermediate	
CST3	-0.2202465266612625	intermediate	
CXCL10	-0.006089366455354695	intermediate	
CXCL12	-0.09715481493360892	drug_target	
