Protein	FeatureImportance	DrugBingingStatus	
ABCA1	0.1484925949033357	drug_target	
ABCB1	0.6957538174878964	drug_target	
ABCC6	0.17100863089772725	drug_target	
ABCC9	0.1484925949033357	drug_target	
ABCG2	0.07886547013055645	drug_target	
ACE	1.162224093135512	drug_target	
ACE2	0.0	drug_target	
ACHE	0.3557598070640229	drug_target	
ADM	0.18896319630666578	intermediate	
ADORA1	0.06697673692971287	drug_target	
ADORA3	-0.025097067644576962	intermediate	
ADRA1D	0.004839343450527048	drug_target	
ADRA2B	-0.026868346613737434	drug_target	
ADRB1	0.4629602226243266	drug_target	
ADRB2	-0.19579780979515637	drug_target	
ADRB3	0.15248374126301614	drug_target	
AGT	0.21632807559752495	intermediate	
AGTR1	0.17667373138318668	drug_target	
AGTR2	0.06697673692971287	intermediate	
AGXT	-0.2740741688773155	drug_target	
AHSG	0.059638755061984156	intermediate	
AKT1	-0.18802303573614512	intermediate	
ALDH2	0.0	drug_target	
ALOX15	0.049596585831657096	intermediate	
ALOX5	0.049596585831657096	drug_target	
ALOX5AP	0.049596585831657096	intermediate	
ANGPT1	-0.11204957050912667	intermediate	
APOA1	0.1585859162250856	intermediate	
APOA2	-0.3671257204475964	intermediate	
APOA4	0.38458843044352486	intermediate	
APOB	0.548048675170302	intermediate	
APOC1	-0.2795952016387792	intermediate	
APOC3	-0.3671257204475964	intermediate	
APOE	0.25155129521263425	intermediate	
AR	1.1047873027020465	drug_target	
ARHGEF7	0.11455117451857606	intermediate	
ATM	-0.02789176374683366	intermediate	
ATP5J	0.40621696632260035	intermediate	
AVPR1A	0.004839343450527048	drug_target	
BCL2	0.0	drug_target	
BDKRB1	-0.040703403504359935	intermediate	
BDKRB2	0.07723084788181586	drug_target	
BGN	-0.0997559169121706	intermediate	
BRAF	0.032785726896661434	drug_target	
C3	0.06697673692971287	intermediate	
C7	-0.48097663020829856	intermediate	
C8A	-0.289709169264721	intermediate	
C8B	-0.289709169264721	intermediate	
CACNA1C	0.3423260118639927	drug_target	
CALR	0.33149642324359696	drug_target	
CASR	-0.040703403504359935	drug_target	
CAV1	-0.18802303573614512	intermediate	
CCL2	0.3275284162173136	drug_target	
CCL21	-0.1405227027118599	intermediate	
CCL5	0.06697673692971287	intermediate	
CCR1	0.06697673692971287	intermediate	
CCR2	0.06697673692971287	intermediate	
CCR3	-0.42686273967190813	intermediate	
CCR5	0.06697673692971287	drug_target	
CD14	0.06948072437807934	intermediate	
CD28	0.11455117451857606	intermediate	
CD36	0.06948072437807934	intermediate	
CD59	-0.37515551668780167	intermediate	
CDCP1	0.059638755061984156	intermediate	
CFH	-0.02789176374683366	intermediate	
CHRM2	0.4534538826570716	drug_target	
CNR1	0.06697673692971287	drug_target	
CREB1	0.26074818532165595	drug_target	
CSF2	0.1629287853735408	intermediate	
CST3	-0.04653606819803832	intermediate	
CTSD	0.2493017490088227	drug_target	
CXCL10	0.06697673692971287	intermediate	
CXCL12	-0.12023193635499155	drug_target	
CXCL6	0.26641747618213424	intermediate	
CXCL8	-0.12023193635499155	intermediate	
CXCR4	-0.1405227027118599	drug_target	
CXCR5	0.06697673692971287	intermediate	
CYP11B2	0.2875259153838039	drug_target	
CYP17A1	0.8737074150974904	drug_target	
CYP1A1	0.449722047672287	drug_target	
CYP1A2	0.20267336372455316	drug_target	
CYP2B6	0.3347585640438303	drug_target	
CYP2C19	0.327617105888927	drug_target	
CYP2C8	-0.01030376313696567	drug_target	
CYP2C9	-0.18166473080028273	drug_target	
CYP2D6	0.2321882035440446	drug_target	
CYP3A4	-0.21374237425029102	drug_target	
CYP3A5	-0.24361681309720584	drug_target	
CYP4A11	0.2909086407260084	drug_target	
DAB2	-0.19579780979515637	intermediate	
DCN	-0.0997559169121706	intermediate	
DES	-0.1849221665312347	intermediate	
DMD	-0.10088482574260979	intermediate	
E2F1	0.2493017490088227	intermediate	
EDN1	0.033953884140369275	intermediate	
EDN2	0.08081775014275361	intermediate	
EDNRA	-0.042024522551857235	drug_target	
EDNRB	0.004839343450527048	drug_target	
EGLN3	0.0	intermediate	
EPAS1	0.0	intermediate	
ESR1	0.880443500833876	drug_target	
ESR2	0.0	drug_target	
F10	-0.49347733846247027	drug_target	
F2	-0.3357316306873242	drug_target	
F2R	0.22546766748026928	intermediate	
F2RL1	0.004839343450527048	intermediate	
F3	-0.37554308707629447	intermediate	
F5	-0.027345135706459352	intermediate	
F7	-0.5150445342618822	intermediate	
F8	0.40621696632260035	intermediate	
FABP2	0.0	drug_target	
FCGR3A	0.5229256509215728	drug_target	
FCGR3B	0.5229256509215728	drug_target	
FES	0.11455117451857606	intermediate	
FGA	-0.10589553537123131	drug_target	
FGB	0.09325192806858332	drug_target	
FGF2	0.11455117451857606	drug_target	
FGFR3	0.11455117451857606	intermediate	
FGG	-0.10589553537123131	drug_target	
FN1	-0.13378729911806514	intermediate	
GCG	-0.38272224557985807	intermediate	
GFAP	0.059638755061984156	intermediate	
GH1	0.07065317776041843	intermediate	
GHRH	0.11777270798820638	intermediate	
GHRL	-0.20791481276334436	intermediate	
GHSR	0.004839343450527048	intermediate	
GJA1	0.0	drug_target	
GRM8	0.06697673692971287	intermediate	
GSN	0.059638755061984156	intermediate	
GSTP1	0.3190276796704907	drug_target	
HADH	0.40621696632260035	intermediate	
HBEGF	0.11455117451857606	intermediate	
HGF	0.11409578760107744	intermediate	
HIF1A	0.0	drug_target	
HLA-DQA1	0.11455117451857606	intermediate	
HLA-DQB1	0.11455117451857606	intermediate	
HLA-DRB1	0.11455117451857606	intermediate	
HLA-E	0.11455117451857606	intermediate	
HMGCR	-0.3068406916965675	drug_target	
HP	-0.04653606819803832	intermediate	
HPSE	-0.12163988539667053	drug_target	
HRG	0.28244926309932483	intermediate	
HTR1D	-0.26036339632720307	drug_target	
HTR2A	0.4885503077103052	drug_target	
IFNA2	-0.04389799675815758	intermediate	
IFNG	-0.48553493992679736	drug_target	
IGF1	0.2493017490088227	intermediate	
IGF1R	0.2493017490088227	drug_target	
IGF2	0.2493017490088227	intermediate	
IGF2R	-0.19579780979515637	intermediate	
IL12B	-0.2745566665361239	drug_target	
IL4	-0.04389799675815758	intermediate	
IL6	-0.1237913970297199	drug_target	
IL6R	-0.12379139702972007	drug_target	
IL6ST	-0.29148079081759715	intermediate	
INS	0.012861479444910484	intermediate	
INSR	0.012861479444910484	drug_target	
IRS1	-0.06135402209217066	intermediate	
ITGA2	-0.13950144718558705	intermediate	
ITGA2B	-0.10589553537123131	drug_target	
ITGAV	-0.25867830363510674	intermediate	
ITGB3	-0.16542637556652331	drug_target	
JAK2	-0.27668553321119277	drug_target	
KCNH2	-0.9107507841535722	drug_target	
KCNMA1	0.059638755061984156	intermediate	
KDR	0.11455117451857606	intermediate	
KLK1	0.37463644526956413	drug_target	
KNG1	0.07723084788181586	intermediate	
KRT16	0.3036046594967634	intermediate	
LDLR	-0.44509955880397856	intermediate	
LDLRAP1	-0.19579780979515637	intermediate	
LPL	-0.2394780397885919	drug_target	
LRP1	0.33149642324359696	drug_target	
LRRK2	-0.000455386917498648	intermediate	
LTA	0.05556758311799988	drug_target	
LTA4H	0.11114418824748502	drug_target	
MAPK1	-0.02820473297400253	intermediate	
MAPK3	-0.02820473297400253	drug_target	
MET	0.11455117451857606	intermediate	
MMP1	-0.24741890603738112	intermediate	
MMP14	0.11114418824748502	intermediate	
MMP2	0.11114418824748502	drug_target	
MMP9	-0.24741890603738112	drug_target	
MPO	-0.4192534689873899	drug_target	
MTHFR	0.14234854399019425	drug_target	
MYD88	-0.06755769386035672	intermediate	
NDUFA2	0.09058911567971649	intermediate	
NFKB1	-0.16694870749147617	intermediate	
NFKBIA	-0.16694870749147617	intermediate	
NOS2	0.04195584469394956	drug_target	
NOS3	0.22762388766221459	drug_target	
NPPB	0.0	drug_target	
NPR1	0.0	drug_target	
NPY	-0.1156776790249518	intermediate	
NR1I2	0.0	drug_target	
NR3C1	0.5392524908336302	drug_target	
NR3C2	0.04321410326284702	drug_target	
NRG1	0.11455117451857606	intermediate	
NRP1	0.11455117451857606	intermediate	
NTN1	0.11455117451857606	intermediate	
NTRK2	0.1755416343892401	drug_target	
OPRD1	-0.23866953968220864	drug_target	
OPRK1	0.6034329953679721	drug_target	
P2RY11	-0.4587006522720838	intermediate	
P2RY12	-0.12023193635499155	drug_target	
P2RY2	0.004839343450527048	intermediate	
PAK3	0.11455117451857606	intermediate	
PCSK1	0.2493017490088227	drug_target	
PCSK2	0.2493017490088227	drug_target	
PDCD1	0.11455117451857606	intermediate	
PDE3A	-0.6023566345103049	drug_target	
PDE4D	-0.28873256290609844	drug_target	
PDE5A	-0.6454067598368001	drug_target	
PDGFA	0.11455117451857606	intermediate	
PECAM1	0.11455117451857606	intermediate	
PIK3C2A	0.40449253567642335	intermediate	
PIK3CA	0.11455117451857606	intermediate	
PIK3CB	0.1464388952374879	intermediate	
PIK3CD	-0.029102739151752155	intermediate	
PIK3CG	0.0	intermediate	
PLA2G2A	0.02933775578580769	drug_target	
PLAT	-0.006283299806773327	drug_target	
PLAU	0.28244926309932483	intermediate	
PLAUR	0.28244926309932483	drug_target	
PLG	-0.006283299806773327	drug_target	
PON1	-0.17957653839570142	drug_target	
PPARG	0.6560383234741567	drug_target	
PTGER2	0.11777270798820638	intermediate	
PTGIS	-0.35249627247967164	drug_target	
PTGS1	1.1950224991371312	drug_target	
PTGS2	0.6778766061794611	drug_target	
PTK2	-0.28043293700259836	intermediate	
PTPN11	-0.27668553321119277	intermediate	
PTPRA	0.11455117451857606	intermediate	
RAF1	-0.14275590749257855	intermediate	
RAMP1	-0.20143234517363776	intermediate	
REN	1.162224093135512	intermediate	
RIPK1	0.399736543173243	intermediate	
RLN2	0.11777270798820638	intermediate	
S100A1	-0.1344167807617232	drug_target	
S100B	-0.1344167807617232	drug_target	
SCN5A	-0.04653606819803832	drug_target	
SDC1	-0.0997559169121706	intermediate	
SDC4	-0.0997559169121706	intermediate	
SEC24D	0.40621696632260035	intermediate	
SELE	0.0	drug_target	
SELP	-0.12163988539667053	drug_target	
SELPLG	0.0	intermediate	
SERPINA1	0.40621696632260035	intermediate	
SERPINB2	0.33149642324359696	drug_target	
SERPINC1	0.2822694156909047	drug_target	
SERPINE1	-0.0235401708193847	drug_target	
SERPING1	0.059638755061984156	intermediate	
SH2B1	-0.04389799675815758	intermediate	
SH2D2A	0.11455117451857606	intermediate	
SIRPA	0.11455117451857606	intermediate	
SLC6A4	0.7286402917195018	drug_target	
SLCO1B1	0.1477232906516523	drug_target	
SMAD2	0.2839716013200375	intermediate	
SMAD3	0.2839716013200375	intermediate	
SOCS1	-0.04389799675815758	intermediate	
SOS1	-0.5115504095279625	intermediate	
SOX2	-0.391090330085718	intermediate	
STAT3	-0.29148079081759715	intermediate	
TAS2R50	0.06697673692971287	intermediate	
TBXA2R	0.23442673077338816	intermediate	
TEK	-0.11159418359162795	drug_target	
TF	-0.19579780979515637	drug_target	
TFPI	-0.12163988539667053	drug_target	
TGFB1	0.2839716013200375	drug_target	
TGFBR1	0.7065308833471994	intermediate	
TGFBR2	0.7065308833471994	intermediate	
THBD	0.0	drug_target	
TIMP2	0.11114418824748502	intermediate	
TLR4	0.06948072437807934	drug_target	
TNF	0.03625941669246172	drug_target	
TNFRSF1A	0.49720452628664	intermediate	
TP53	0.5193196952775737	intermediate	
TSPO	-0.6341189666999216	drug_target	
TXN	-0.16694870749147617	intermediate	
TXN2	-0.16694870749147617	intermediate	
UGT1A1	0.1190196153168589	drug_target	
UTS2	0.08081775014275361	intermediate	
UTS2R	0.004839343450527048	intermediate	
VAMP8	-0.19579780979515637	intermediate	
VCAM1	0.0	drug_target	
VCAN	-0.0997559169121706	intermediate	
VEGFA	0.12482229043892903	drug_target	
VKORC1	-0.27989984296190323	drug_target	
VLDLR	-0.19126746094357705	drug_target	
VTN	0.0022409243693919303	drug_target	
VWF	0.09325192806858332	intermediate	
