Protein	FeatureImportance	DrugBingingStatus	
ABCA1	0.0	drug_target	
ABCB1	0.036876295715256226	drug_target	
ABCB11	0.0	drug_target	
ABCC1	-0.08957880558231414	drug_target	
ABCC2	-0.06730457801575832	drug_target	
ABCC3	-0.12261421062328652	drug_target	
ABCC4	-0.20147537089452994	drug_target	
ABCC5	-0.1071073661129519	drug_target	
ABCC6	-0.05842840555333308	drug_target	
ABCC8	-0.046859213962114246	drug_target	
ABCC9	0.0	drug_target	
ACTG1	0.0	intermediate	
ACTN2	0.06591041834158225	intermediate	
ADRA1D	0.0	drug_target	
ADRB2	0.08740423959003218	drug_target	
AGFG1	0.20192758608101533	intermediate	
AGK	-0.017771141811331645	intermediate	
AKR1B1	-0.017771141811331645	drug_target	
AKT1	-0.21739289771373255	intermediate	
ALB	0.19101797598755998	drug_target	
ALOX15	0.0	intermediate	
AMPH	-0.07201060261803369	intermediate	
APOB	0.08740423959003218	intermediate	
APOE	-0.04892000397188867	intermediate	
APP	-0.02440181385924107	intermediate	
AR	-0.6394550838184939	drug_target	
ARTN	-0.005171934526199738	intermediate	
ATM	-0.5791082172694666	intermediate	
B2M	0.0	intermediate	
BCL2	0.0	drug_target	
BIN1	-0.07201060261803369	intermediate	
BRAF	-0.017771141811331645	drug_target	
CA2	0.35009132707129353	drug_target	
CACNA1G	-0.13823875627469664	drug_target	
CACNA1S	-0.09221708713895034	drug_target	
CALR	0.0	intermediate	
CAV1	-0.06247750139096288	intermediate	
CD28	-0.10174786631297912	intermediate	
CES1	-0.006630672047909419	drug_target	
CFH	0.1350032750180711	intermediate	
CHKB	0.19101797598755998	drug_target	
CLCF1	-0.036807890004775155	intermediate	
CNTF	-0.036807890004775155	intermediate	
COMT	-0.0394839986957081	drug_target	
CSF2	-0.10445732592193781	intermediate	
CST3	0.15278070916334455	intermediate	
CUL4B	-0.04588973131754477	intermediate	
CXCL10	0.14749559178739508	intermediate	
CXCL11	0.14749559178739508	intermediate	
CXCL9	0.14749559178739508	intermediate	
CXCR3	0.14749559178739508	intermediate	
CYP19A1	-0.05100336777187361	drug_target	
CYP1A1	0.11939540221140967	drug_target	
CYP1A2	0.25085948479013703	drug_target	
CYP2B6	0.16366796411030438	drug_target	
CYP2C8	0.6792376807974234	drug_target	
CYP2C9	0.1590122470175221	drug_target	
CYP2D6	0.4204613830702413	drug_target	
CYP2E1	-0.04778044844367009	drug_target	
CYP3A4	0.5765495964200791	drug_target	
CYP3A5	0.4225046796151522	drug_target	
DCTN4	-0.008876172462425239	intermediate	
DDB2	-0.04588973131754477	intermediate	
DES	-0.09221708713895034	intermediate	
DMD	0.04278618787912091	intermediate	
DNM2	-0.18653394910901677	intermediate	
DPYD	-0.055309632607528206	drug_target	
DYNC1I1	-0.008876172462425239	intermediate	
EDN1	-0.04386500147009988	intermediate	
EDNRB	-0.04386500147009988	drug_target	
EGF	-0.005171934526199738	drug_target	
EGFR	-0.005171934526199738	drug_target	
ERBB2	-0.005171934526199738	drug_target	
ERCC2	-0.04588973131754477	intermediate	
ERCC3	-0.04588973131754477	intermediate	
ERCC4	-0.04588973131754477	intermediate	
ERLIN2	-0.042646363905235476	intermediate	
