Protein	FeatureImportance	DrugBingingStatus	
ACE	0.4618326576443222	drug_target	
ADA	-0.5823097710097179	drug_target	
ADORA2B	0.3593223036621111	drug_target	
ADORA3	0.08609654649937809	intermediate	
ADRB2	-0.4503517144099292	drug_target	
ALOX5	0.029493391157949727	drug_target	
ANGPT1	-0.10037298216993353	intermediate	
APOA1	-0.0024035961276960534	intermediate	
ATM	-0.0024035961276960534	intermediate	
BTK	-0.3029152772248009	intermediate	
C3	-0.23075874419472064	intermediate	
C3AR1	0.059860604154732586	intermediate	
C5AR1	0.059860604154732586	intermediate	
CARD11	0.029493391157949727	intermediate	
CAV1	0.19364401657375724	intermediate	
CCL19	0.059860604154732586	intermediate	
CCL20	0.059860604154732586	intermediate	
CCL5	-0.23075874419472064	intermediate	
CCR1	0.059860604154732586	intermediate	
CCR2	0.059860604154732586	intermediate	
CCR3	0.059860604154732586	intermediate	
CCR5	0.007330483334842598	drug_target	
CCR6	0.059860604154732586	intermediate	
CCR8	0.059860604154732586	intermediate	
CCR9	0.059860604154732586	intermediate	
CD14	-0.20254229505486718	intermediate	
CD19	-0.10037298216993353	intermediate	
CD86	-0.10037298216993353	intermediate	
CDC42	-0.10037298216993353	intermediate	
CFB	0.5933533058826409	intermediate	
CHUK	0.029493391157949727	drug_target	
CSF2	0.14178917835185767	intermediate	
CXCL1	0.059860604154732586	intermediate	
CXCL10	0.007330483334842598	intermediate	
CXCL12	0.059860604154732586	drug_target	
CXCL13	0.059860604154732586	intermediate	
CXCL2	0.059860604154732586	intermediate	
CXCL5	0.059860604154732586	intermediate	
CXCL8	-0.23075874419472064	intermediate	
CXCL9	0.059860604154732586	intermediate	
CXCR2	0.059860604154732586	intermediate	
CXCR3	0.059860604154732586	intermediate	
CXCR4	-0.3358646013271572	drug_target	
CXCR6	0.007330483334842598	intermediate	
CYP1A1	-0.5648558801123796	drug_target	
CYP2E1	-0.3417596267111427	drug_target	
CYSLTR1	0.23253724688422311	intermediate	
EGFR	-0.4503517144099292	intermediate	
F2	-0.15414540500943424	intermediate	
F2R	0.23253724688422311	intermediate	
F2RL1	0.23253724688422311	intermediate	
FABP5	0.36671621616734773	intermediate	
FCGR1A	0.22439578679707087	drug_target	
FCGR2A	0.22439578679707087	drug_target	
FCGR3A	0.0	drug_target	
FCGR3B	0.0	drug_target	
FGF7	-0.10037298216993353	intermediate	
FMO3	0.02302719832050133	drug_target	
FN1	-0.0024035961276960534	intermediate	
GBA	0.0	drug_target	
HGF	-0.10037298216993353	intermediate	
HP	0.21147319105278178	intermediate	
ICOS	-0.10037298216993353	intermediate	
IGF2R	-0.4503517144099292	intermediate	
IKBKB	0.029493391157949727	drug_target	
IL2	0.14178917835185767	intermediate	
IL2RB	0.14178917835185767	drug_target	
IL2RG	0.14178917835185767	drug_target	
IL4	0.2421621605217912	intermediate	
IL5	0.14178917835185767	intermediate	
IL5RA	0.14178917835185767	intermediate	
IL6	-0.3597341108110303	drug_target	
IL7	0.2421621605217912	intermediate	
ITGA4	0.45894873181866636	drug_target	
ITGB3	-0.5311855014560445	drug_target	
JAK3	0.14178917835185767	intermediate	
KNG1	-0.3145054383667594	intermediate	
LPAR1	-0.3145054383667594	intermediate	
LPAR2	-0.3145054383667594	intermediate	
LTA	0.6015072655195282	drug_target	
LTB	0.0	intermediate	
LTB4R	0.23253724688422311	intermediate	
LY96	-0.20254229505486718	intermediate	
MED1	0.42302701267162157	intermediate	
MMP12	-0.3243914240494171	drug_target	
MMP9	-0.5584147741894884	drug_target	
MPO	-0.2639021479998301	drug_target	
MYD88	0.3202438150068255	intermediate	
MYLK	0.19364401657375724	intermediate	
NFKB1	0.029493391157949727	intermediate	
NFKB2	0.029493391157949727	drug_target	
NFKBIA	0.029493391157949727	intermediate	
NLRC4	0.21147319105278178	intermediate	
NPW	0.059860604154732586	intermediate	
NR3C1	0.03426918807375362	drug_target	
PDE4A	-0.2018987179865429	drug_target	
PF4	0.059860604154732586	intermediate	
PLA2G1B	0.45676219612477886	drug_target	
PLA2G4A	0.2421621605217912	drug_target	
PLG	-0.5460793418344708	drug_target	
POMC	0.059860604154732586	drug_target	
PPARG	0.45676219612477886	drug_target	
PPBP	0.8190380145601838	intermediate	
PTAFR	0.3376431040166591	intermediate	
PTGDR2	0.059860604154732586	intermediate	
PTGS1	-0.7097664385268723	drug_target	
PTGS2	0.2989573588694733	drug_target	
SERPINE1	-0.5460793418344708	drug_target	
STAT3	0.19415408128519637	intermediate	
SYK	-0.10037298216993353	intermediate	
TAC1	-0.4274889760699649	intermediate	
TICAM1	-0.20254229505486718	intermediate	
TIRAP	-0.20254229505486718	intermediate	
TLR3	-0.20254229505486718	intermediate	
TLR4	-0.20254229505486718	drug_target	
TLR6	-0.20254229505486718	intermediate	
TNF	0.6015072655195282	drug_target	
TNFRSF1A	0.0	intermediate	
TNFRSF1B	0.0	drug_target	
TP53	-0.12406965380214843	intermediate	
TRIP10	-0.31850671324825963	intermediate	
TTF1	-0.2018987179865429	intermediate	
VIM	0.0	intermediate	
VIP	0.8012621271065941	intermediate	
