Protein	FeatureImportance	DrugBingingStatus	
ACE	0.571525117657186	drug_target	
ADA	-0.3324961316170117	drug_target	
ADRB2	-0.49233863402086525	drug_target	
AGTR1	0.49721584535350344	drug_target	
ALB	-0.458552895742101	drug_target	
ALOX5	-0.44127490431855254	drug_target	
CAV1	-0.22843638887600595	intermediate	
CCR5	-0.44244671534380375	intermediate	
CXCL2	-0.44244671534380375	intermediate	
CXCL8	-0.44244671534380375	intermediate	
CYP11B2	-0.11270037587549489	drug_target	
EDN1	0.8326920867390001	intermediate	
EDNRA	0.8326920867390001	intermediate	
EGLN1	0.2530793806963415	intermediate	
F2R	-0.20971436978594624	intermediate	
FGF10	-0.19905282076543454	intermediate	
FGF7	-0.19905282076543454	intermediate	
FPR1	-0.44244671534380375	intermediate	
FSHR	0.4781985377183473	intermediate	
GHRH	0.4781985377183473	intermediate	
GSTP1	-0.2376222879852492	drug_target	
HIF1A	0.2530793806963415	drug_target	
IL1B	-0.1812858276641144	drug_target	
IL2	-0.3050560753440138	drug_target	
MPO	-0.5164032574728838	drug_target	
NFKB1	-0.096046822463232	intermediate	
NOS3	-0.10600325457857926	drug_target	
NRG1	-0.19905282076543454	intermediate	
PTGS2	-0.2599890766544381	drug_target	
REN	0.571525117657186	intermediate	
ROCK1	0.021469834210023842	intermediate	
TEK	-0.19905282076543454	drug_target	
TH	0.30281313912628144	drug_target	
TNF	-0.10600325457857926	drug_target	
TRPV1	0.0	drug_target	
VEGFA	0.021469834210023842	drug_target	
