Protein	FeatureImportance	DrugBingingStatus	
AAK1	0.004944461890753876	intermediate	
ADA	-0.24092518762572754	drug_target	
ADM	0.16249511351764756	intermediate	
ADRA1D	-0.05652901443930882	drug_target	
ADRA2A	-0.2851583038967252	drug_target	
ADRB2	0.004944461890753876	drug_target	
AGT	-0.44903812320028486	intermediate	
AGTR2	0.05807232519926619	intermediate	
ALAS1	0.0	drug_target	
ALOX5	0.15238261642695825	drug_target	
ANGPT1	-0.10136990577652913	intermediate	
APOA1	-0.08248218089590134	intermediate	
APOC1	-0.013570915274208605	intermediate	
APOE	-0.38916807974640577	intermediate	
APP	-0.20753365319769493	intermediate	
BAAT	0.0	drug_target	
BBC3	-0.013570915274208605	intermediate	
BCL2	-0.20056536999215907	drug_target	
BID	-0.20056536999215907	intermediate	
BTK	-0.02556404649711558	drug_target	
C3	0.05807232519926619	intermediate	
C3AR1	0.05807232519926619	intermediate	
C5	-0.1298127606229914	drug_target	
C5AR1	0.05807232519926619	intermediate	
C6	0.3174805177489002	intermediate	
CALCA	0.16249511351764756	intermediate	
CARD11	0.044062635640301176	intermediate	
CASP1	-0.1394667981624014	drug_target	
CASP3	-0.1394667981624014	drug_target	
CASP9	-0.1394667981624014	intermediate	
CAV1	-0.20322724487477759	intermediate	
CCL2	-0.051281898910760876	drug_target	
CCL5	0.05807232519926619	intermediate	
CCR2	0.05807232519926619	intermediate	
CD14	0.07580585927941356	intermediate	
CD80	0.18095298027592902	drug_target	
CD86	0.18095298027592902	drug_target	
CFB	0.42288342267525647	intermediate	
CFH	-0.08248218089590134	intermediate	
CRH	0.16249511351764756	intermediate	
CRK	-0.3466145467559686	intermediate	
CSF2	0.13145856043657878	intermediate	
CXCL12	0.05807232519926619	drug_target	
CXCL2	0.05807232519926619	intermediate	
CXCL8	0.05807232519926619	intermediate	
CXCR2	0.05807232519926619	intermediate	
CXCR4	0.05807232519926619	drug_target	
CYP1A1	-0.10270654734722137	drug_target	
CYP1A2	0.4366355946196759	drug_target	
CYP2E1	-0.10437914903542325	drug_target	
DLD	0.0	intermediate	
EDN1	-0.05652901443930882	intermediate	
EDN3	-0.05652901443930882	intermediate	
EDNRB	-0.05652901443930882	intermediate	
F2	-0.1348457383757329	intermediate	
F2R	-0.05652901443930882	intermediate	
F3	-0.22946005339267583	intermediate	
F7	-0.08248218089590134	intermediate	
FGA	0.0	intermediate	
FGB	0.0	intermediate	
FN1	-0.08248218089590134	intermediate	
FPR2	-0.1291851130305895	intermediate	
FYN	0.1378540265926475	drug_target	
GAL	-0.1834321448033241	intermediate	
GAST	-0.05652901443930882	intermediate	
GDNF	-0.10136990577652913	intermediate	
GHR	0.030265681876072804	intermediate	
GRAP2	0.2358146976967131	intermediate	
GRIN2A	-0.5523839296003652	drug_target	
GRP	-0.05652901443930882	intermediate	
GRPR	-0.05652901443930882	intermediate	
GSN	-0.013570915274208605	intermediate	
HIF1A	-0.027461118880613974	drug_target	
HLA-DRB4	0.0	intermediate	
HPSE	-0.07831672393642403	drug_target	
