Protein	FeatureImportance	DrugBingingStatus	
ABCA1	-0.11745645953261767	drug_target	
ABCB1	-0.4537272820019948	drug_target	
ACE	-0.038136257582976445	drug_target	
ADM	0.15341548626836132	intermediate	
ADRB1	0.20153618336819737	drug_target	
ADRB2	0.02006567002926543	drug_target	
ADRB3	0.29815123115591846	drug_target	
AGT	-0.3637537315848909	intermediate	
AGTR1	0.5174149063122517	drug_target	
AGTR2	0.03186103016337287	intermediate	
AKR1B1	0.0	drug_target	
AKT2	-0.20214624247652005	intermediate	
ALB	0.19183190649832263	drug_target	
ALOX5	-0.12358645242231601	drug_target	
APOA1	0.045946121173360596	intermediate	
APOA2	0.045946121173360596	intermediate	
APOA4	0.045946121173360596	intermediate	
APOB	0.02006567002926543	intermediate	
APOC1	-0.0023058882324176566	intermediate	
APOC2	0.045946121173360596	intermediate	
APOC3	0.045946121173360596	intermediate	
APOE	-0.0023058882324176566	intermediate	
C3	0.03186103016337287	intermediate	
CAV1	-0.6577741007436143	intermediate	
CCL5	0.03186103016337287	intermediate	
CCR2	0.03186103016337287	intermediate	
CCR5	0.03186103016337287	drug_target	
CCR7	0.03186103016337287	intermediate	
CD14	-0.20894361448792717	intermediate	
CD36	-0.20894361448792717	intermediate	
CD59	-0.07528155848754153	intermediate	
CDCP1	0.19183190649832263	intermediate	
CFTR	-0.16868546316149127	drug_target	
CNR1	0.03186103016337287	drug_target	
CPT1A	-0.11745645953261767	drug_target	
CRABP2	0.6635734378181264	intermediate	
CYP19A1	0.2745597623109432	drug_target	
CYP2C19	0.5073974603356952	drug_target	
CYP2C8	-0.16498423020277705	drug_target	
CYP2C9	0.67338204679266	drug_target	
CYP2D6	-0.2353922108080154	drug_target	
CYP3A4	-0.19130560539010882	drug_target	
CYP3A5	0.5761894035283817	drug_target	
ESR1	0.23255267760563697	drug_target	
ESR2	0.3899262465650744	drug_target	
F11R	-0.09528063075704053	intermediate	
F2	-0.1754611589991353	intermediate	
F5	-0.19229252857588744	intermediate	
F7	0.08732043455930004	intermediate	
FABP2	0.33869724293620074	drug_target	
FN1	-0.807684284281589	intermediate	
FSHR	0.1383710575372292	intermediate	
GAL	0.03186103016337287	intermediate	
GCG	-0.7864772666389149	intermediate	
GH1	0.4658234128995229	intermediate	
GPIHBP1	-0.07590831512557782	intermediate	
HELZ2	-0.2073196569646498	intermediate	
HMGCR	-0.5322592719044219	drug_target	
HNF4A	-0.06819100618884957	drug_target	
HP	0.19183190649832263	intermediate	
HSD11B1	-0.09195536600317561	drug_target	
HSPG2	-0.11822947960516232	intermediate	
IL2RB	-0.16979499680536472	intermediate	
INS	-0.16744765024301309	intermediate	
INSR	-0.07205697816042836	drug_target	
IRS1	-0.2551507479994741	intermediate	
ITGB3	-0.27770042246786847	intermediate	
KL	-0.5535265106559842	intermediate	
KLRK1	-0.11026060479832085	intermediate	
LDLR	0.5660918955501143	intermediate	
LDLRAP1	0.02006567002926543	intermediate	
LPL	-0.07590831512557782	drug_target	
LRP2	0.02006567002926543	intermediate	
LTA	-0.23684901047932527	intermediate	
MC4R	-0.015044428731132183	intermediate	
MMP14	-0.038136257582976445	intermediate	
MTHFR	-0.15374760772787777	drug_target	
NDUFA2	-0.19229252857588744	intermediate	
NOS3	-0.16491804140884417	drug_target	
NPHS1	0.24008391590410086	intermediate	
NPPB	-0.24945722040497714	drug_target	
NPY	0.03186103016337287	intermediate	
PLG	-0.1883205363628674	intermediate	
PON1	-0.10310133476929727	drug_target	
PPARA	0.0	drug_target	
PPARD	-0.09623251527201035	drug_target	
PPARG	-0.3603854986196829	drug_target	
PTGS1	-0.9532876179854596	drug_target	
PTH	0.15341548626836132	intermediate	
PTPRA	-0.37734076235935765	intermediate	
REN	-0.038136257582976445	intermediate	
RXRG	-0.11149332295326353	drug_target	
SAA1	-0.32561747400191426	intermediate	
SDC1	-0.11822947960516232	intermediate	
SDC2	-0.11822947960516232	drug_target	
SEL1L	-0.16868546316149127	intermediate	
SHC1	0.8624964657644922	intermediate	
SLC10A1	0.1019757481050323	drug_target	
SLC25A13	0.19183190649832263	intermediate	
SLCO1B1	0.5998200815619621	drug_target	
SMPD1	-0.1294232734068189	drug_target	
TFG	-0.19229252857588744	intermediate	
TGFB1	-0.09528063075704053	drug_target	
TNF	-0.3642674656141896	drug_target	
TNFRSF1A	-0.17898397233506677	intermediate	
TRH	-0.022697677654334527	intermediate	
VCAM1	-0.023272819758993948	drug_target	
VEGFA	-0.13259052801438329	drug_target	
VLDLR	-0.06819100618884957	drug_target	
