Protein	FeatureImportance	DrugBingingStatus	
ADM	-0.0644423624760517	intermediate	
ADRB3	-0.0644423624760517	drug_target	
ANGPT1	-0.6717506132671534	intermediate	
BCL2	0.5116197952468642	drug_target	
BDKRB1	-0.04829033407587126	intermediate	
BDKRB2	-0.04829033407587126	drug_target	
CALR	-0.11860222123785595	drug_target	
CCK	0.13890169680073616	intermediate	
CCL2	-0.07842599566600973	drug_target	
CXCL8	-0.04002796261516615	intermediate	
CYP2C19	-0.0436708356564925	drug_target	
CYP2C8	0.3554078412919105	drug_target	
CYP2C9	0.25978391253547983	drug_target	
CYP2D6	0.27879836134507047	drug_target	
EDN1	0.13890169680073616	intermediate	
EGF	0.3569808487835551	drug_target	
EGFR	0.40945286974762257	drug_target	
FGF2	0.20605113731778843	drug_target	
FGFR1	0.20605113731778843	drug_target	
FGFR2	0.20605113731778843	drug_target	
FLT1	-0.22190062079588033	drug_target	
FN1	-0.1812158921674527	intermediate	
GAST	0.13890169680073616	intermediate	
GHRL	0.010447380411825127	intermediate	
HGF	0.20605113731778843	intermediate	
HIF1A	-0.1318365961242854	drug_target	
HLA-DRB1	-0.19658809514708792	intermediate	
HRH3	-0.04002796261516615	drug_target	
IAPP	-0.0644423624760517	intermediate	
IL2	0.12708301676981562	drug_target	
KDR	-0.5196134398173703	drug_target	
KLK1	-0.05823384221377174	drug_target	
LTA	0.5108845905596127	intermediate	
MET	-0.24354821563336257	drug_target	
MMP1	-0.09846686586805722	intermediate	
MMP9	-0.09846686586805722	drug_target	
NRG1	0.23681274965003507	intermediate	
OXT	0.13890169680073616	intermediate	
OXTR	0.13890169680073616	intermediate	
PDGFA	0.20605113731778843	intermediate	
PDGFRA	0.23681274965003507	drug_target	
PDGFRB	0.23681274965003507	drug_target	
PLAT	0.3917518751402957	drug_target	
PLAU	-0.11986792010656831	intermediate	
PTGS1	0.21769734094332585	drug_target	
PTGS2	0.12269980350654112	drug_target	
SDC1	-0.172950658587849	intermediate	
SERPINB2	0.0	drug_target	
SERPINE1	0.0	drug_target	
SOS1	-0.2527389805268566	intermediate	
SST	-0.04002796261516615	intermediate	
TEK	-0.6717506132671534	drug_target	
TNF	0.5108845905596127	drug_target	
TP53	0.5484147159923803	intermediate	
VEGFA	-0.17596425071875438	drug_target	
