Protein	FeatureImportance	DrugBingingStatus	
ADORA2A	-0.1377398515124195	drug_target	
AKT1	0.2148205941637065	intermediate	
APOE	-0.28250436065189555	intermediate	
ARRB2	-0.007038578181233148	intermediate	
CNR1	0.30761978729416967	drug_target	
COMT	-0.24278666706789262	drug_target	
CYP17A1	-0.32914437099665805	drug_target	
CYP1A2	-0.30763579862398416	drug_target	
CYP2B6	0.1782355178304868	drug_target	
CYP2D6	0.88696863777433	drug_target	
CYP3A4	0.4773082861856488	drug_target	
CYP3A5	0.3498122083333503	drug_target	
DBH	-0.3433652055969961	drug_target	
DRD1	1.1059733071034676	drug_target	
DRD2	1.2710846815935979	drug_target	
DRD3	-0.3451585958728155	drug_target	
DRD4	-1.054468213250744	drug_target	
F2R	0.38449001833158686	intermediate	
GFRA1	-0.08643669093696371	intermediate	
GFRA2	-0.08643669093696371	intermediate	
GRIN2B	0.005867785845877199	drug_target	
GSTM1	-0.045504233980170464	drug_target	
GSTT1	-0.045504233980170464	drug_target	
HTR1F	0.017750928771751443	drug_target	
HTR2A	1.0673923879843417	drug_target	
HTR2C	-0.3912784909321374	drug_target	
HTR6	0.13118208837961612	drug_target	
MAOA	0.11475937451816427	drug_target	
MAOB	-0.14737336948853572	drug_target	
MTNR1A	0.2553025401371664	drug_target	
MTNR1B	0.2553025401371664	drug_target	
NOS1	-0.09359011201578099	drug_target	
NOS3	-0.21777402761051506	drug_target	
NQO1	-0.13909434599595147	drug_target	
PAH	-0.03668488790861945	drug_target	
PDE4A	-0.10460835314459735	drug_target	
PDE4B	0.2692507274459267	drug_target	
SLC18A2	-0.3886149353163223	drug_target	
SLC6A3	0.15359589975150895	drug_target	
SLC6A4	0.3813230481981376	drug_target	
SOD1	-0.045504233980170464	drug_target	
TNF	-0.2114572255034715	drug_target	
TPH1	-0.02553417814782621	drug_target	
