Protein	FeatureImportance	DrugBingingStatus	
ABCB1	0.41741568426789416	drug_target	
ABCC2	1.3812470612137007	drug_target	
ACE	0.6700501843142852	drug_target	
ACTB	-0.04828424183617883	intermediate	
ADCYAP1	-0.14914492633508605	intermediate	
ADM	-0.14914492633508605	intermediate	
ADRB2	0.25637974591608786	drug_target	
AGT	0.2784735377886839	intermediate	
ALB	-0.3445290639283418	drug_target	
ALDH2	-0.4106680546079071	drug_target	
AMY2A	-0.1409506825342834	intermediate	
AP2S1	0.21417722497468816	intermediate	
APOC2	-0.06325903277081919	intermediate	
APOE	0.3910018319350669	intermediate	
ARTN	-0.23879674565952105	intermediate	
ATM	0.22539942353250678	drug_target	
B3GAT1	-0.05999743281809095	intermediate	
BDKRB2	0.2325956271331406	drug_target	
BGN	-0.05999743281809095	intermediate	
BRAF	-0.20517544978200403	intermediate	
CA2	0.15221538463051223	drug_target	
CALCA	-0.03242708324790009	intermediate	
CASR	-0.3389495195436075	drug_target	
CAV1	-0.35311168315603486	intermediate	
CCK	0.0863201970832337	intermediate	
CCKBR	0.052284109220339006	intermediate	
CCL2	0.6946916397869114	drug_target	
CCL20	-0.09441986037659575	intermediate	
CCL28	-0.09441986037659575	intermediate	
CCL5	-0.03442927284592823	intermediate	
CCR1	-0.03442927284592823	intermediate	
CCR6	-0.09441986037659575	intermediate	
CD14	0.04634956022233811	intermediate	
CD38	-0.2798791165624323	drug_target	
CD4	0.0997899556742129	intermediate	
CFB	0.30270090652971043	intermediate	
CFTR	0.0	drug_target	
CNR1	-0.03442927284592823	drug_target	
CNR2	-0.03442927284592823	drug_target	
CTSL	0.053398541713744994	intermediate	
CXCL1	-0.09441986037659575	intermediate	
CXCL10	-0.09441986037659575	intermediate	
CXCL12	-0.09441986037659575	drug_target	
CXCL5	-0.09441986037659575	intermediate	
CXCL6	0.12040543208863773	intermediate	
CXCL8	0.3193188349028703	intermediate	
CXCR1	-0.09441986037659575	drug_target	
CXCR2	-0.09441986037659575	intermediate	
CXCR3	-0.09441986037659575	intermediate	
CXCR4	-0.09441986037659575	drug_target	
CYP17A1	0.19489652490402584	drug_target	
CYP1A1	1.0412410807923698	drug_target	
CYP1B1	0.235554472412103	drug_target	
CYP2E1	-0.32624327493498534	drug_target	
EDN1	0.04535495079746923	intermediate	
EDNRA	-0.510009296179129	drug_target	
EGF	0.06586724209274605	drug_target	
EGFR	0.12586467491083675	drug_target	
ERBB2	-0.14868510870899151	drug_target	
ERBB3	-0.23879674565952105	intermediate	
F2RL1	0.052284109220339006	intermediate	
F5	-0.11966129983182074	intermediate	
FGA	0.06623969989073239	drug_target	
FGB	0.06623969989073239	drug_target	
FGF1	-0.23879674565952105	drug_target	
FGF5	-0.23879674565952105	intermediate	
FGFR1	0.09011163695052953	drug_target	
FGFR2	0.09011163695052953	drug_target	
FGG	0.06623969989073239	drug_target	
GAL	0.17299660670668826	intermediate	
GALR2	0.17299660670668826	intermediate	
GALR3	0.17299660670668826	intermediate	
GAST	0.05052430506338946	intermediate	
GCG	-0.758656468376865	intermediate	
GHRL	-0.6246394281084136	intermediate	
GIP	-0.14914492633508605	intermediate	
GNAI2	0.12040543208863773	intermediate	
GPIHBP1	0.0	intermediate	
GSTM1	0.4531963993994938	drug_target	
GSTP1	-0.003556343734719238	drug_target	
GSTT1	-0.5574583432082312	drug_target	
HGF	0.07513361716159049	intermediate	
HLA-DPB1	0.35790708115333886	intermediate	
HLA-DQA1	0.35790708115333886	intermediate	
HLA-DQA2	0.35790708115333886	intermediate	
HLA-DQB1	0.35790708115333886	intermediate	
HLA-DRB1	0.35790708115333886	intermediate	
HLA-E	0.19151511821066608	intermediate	
HP	0.04418537785170565	intermediate	
HRAS	-0.3438705129473651	intermediate	
HTR2A	0.5074690131074453	drug_target	
IFNG	-0.08573194674443126	drug_target	
IL1A	0.0	drug_target	
IL1B	0.0	drug_target	
IL1RN	0.0	drug_target	
IL2RA	-0.27183482382368673	intermediate	
IL2RB	-0.3127684643599668	intermediate	
INS	-0.290874610615755	intermediate	
KLK1	-0.25889200569347576	drug_target	
KLK3	0.04418537785170565	intermediate	
KRAS	0.22498202592864924	intermediate	
KRT8	0.3904954808996895	drug_target	
LPL	0.0	drug_target	
LTA	0.3720832434553186	intermediate	
MAPK3	0.06191829269354587	drug_target	
MET	0.3139303628211121	intermediate	
MGST1	-0.04123795487631521	intermediate	
MPO	0.05184521869599441	drug_target	
MTHFR	0.0	drug_target	
MYD88	0.04634956022233811	intermediate	
NCOA3	0.053398541713744994	intermediate	
NDUFA2	-0.11966129983182074	intermediate	
NFATC1	-0.23280941451043943	drug_target	
NFKBIA	0.5035573496849686	intermediate	
NOD2	0.09011163695052953	intermediate	
NTS	0.05052430506338946	intermediate	
NTSR1	0.052284109220339006	intermediate	
P2RY6	0.052284109220339006	intermediate	
PDGFA	0.018227893060785604	intermediate	
PDGFB	-0.22056885259873552	intermediate	
PLA2G2A	0.015822219886770773	drug_target	
PLAG1	0.04418537785170565	intermediate	
PLAUR	0.1316034752062137	drug_target	
PON1	0.0	drug_target	
PPARG	-0.23231527350235773	drug_target	
PPP3CA	-0.31561694118570943	intermediate	
PPY	-0.03442927284592823	intermediate	
PRSS1	-0.25889200569347576	drug_target	
PRSS2	0.4159407580233264	drug_target	
PRSS3	-0.3559331602848499	intermediate	
PSPN	0.2570160881085685	intermediate	
PTGDR	0.1906859291785868	intermediate	
PTGS2	0.5778142504365196	drug_target	
PTHLH	0.4431333875759721	intermediate	
PTPN22	0.35790708115333886	intermediate	
RAC1	-0.1082816746542698	intermediate	
RELA	0.09826121140394543	intermediate	
REN	0.6700501843142852	drug_target	
RNASE1	0.4159407580233264	drug_target	
S100A12	-0.08208138535747327	drug_target	
S100A4	-0.0039627044967007145	drug_target	
SCT	0.012026876332799495	intermediate	
SDC1	-0.05999743281809095	intermediate	
SELE	-0.23291996929084802	drug_target	
SERPINA1	-0.11966129983182074	intermediate	
SERPINE1	0.3904954808996895	drug_target	
SLC25A13	0.053398541713744994	intermediate	
SLCO1B3	0.7768868142644024	drug_target	
SNAP25	-0.21053975573469613	intermediate	
SOD1	-0.1007056000740178	drug_target	
SOS1	-0.8219571362222516	intermediate	
SST	-0.03442927284592823	drug_target	
STX1A	-0.3406693934457725	intermediate	
SYT1	-0.08428964752968461	intermediate	
TAC1	-0.167282713957349	intermediate	
TACR1	-0.004351107132513993	drug_target	
TACR2	0.052284109220339006	intermediate	
TACR3	0.052284109220339006	intermediate	
TBXAS1	0.4134457127344387	drug_target	
TF	0.21417722497468816	drug_target	
TLR3	0.04634956022233811	intermediate	
TLR4	0.04634956022233811	drug_target	
TLR6	0.04634956022233811	intermediate	
TNF	-0.2144015542657523	drug_target	
TP53	0.5778142504365196	intermediate	
TRPV1	0.1720138058276408	drug_target	
TSC22D1	0.04418537785170565	intermediate	
TXN	-0.31518450133049336	intermediate	
UGT1A7	0.9620998463615293	intermediate	
VCAM1	-0.23291996929084802	drug_target	
VEGFA	0.20229741457277	drug_target	
XDH	-0.8645269757720202	drug_target	
